"Region";"Deutschland - Berufsuntergruppen";"Regionsschlüssel:";"d"
"Berichtsjahr";"2024"
"Engpassbewertung";"Engpassberufe (>=2,0)"
"Anforderungsniveau";"Fachkräfte"
"Bewertung/Basiswerte";"Bewertung"
""
"Hinweise:";"Arbeitslosigkeit und gemeldete Arbeitsstellen: Jahr 2024 (Jahresdurchschnittswerte), Beschäftigung: 30. Juni 2024, Entgelt: 31. Dezember 2023. Für die berufsspezifischen Arbeitslosenquoten liegen die Daten nur auf Ebene der Berufsgruppen (3-Steller der KldB 2010) in Kombination mit den Anforderungsniveaus vor. Für die Berufsgattungen (4-Steller + Anforderungsniveau) wird daher in der Engpassanalyse der Wert der jeweils übergeordneten Berufsgruppe und das jeweilige Anforderungsniveau herangezogen. "
""
"Kennziffer ";"Beruf ";"Gesamtbewertung ";"Vakanzzeit";"Arbeitsuchenden-Stellen-Relation";"Berufsspez. Arbeitslosenquote";"Veränd. Anteil sv-pfl. beschäftigter Ausländer";"Abgangsrate aus Arbeitslosigkeit";"Entwicklung mittlere Entgelte"
"8111";"Zahnmedizinische Fachangestellte";"2,8";"3";"3";"3";"2";"3";"3"
"2621";"Berufe in der Bauelektrik";"2,7";"3";"3";"3";"2";"3";"2"
"2923";"Berufe in der Fleischverarbeitung";"2,7";"3";"3";"3";"3";"1";"3"
"3223";"Berufe im Gleisbau";"2,7";"3";"3";"3";"3";"2";"2"
"3421";"Berufe Sanitär-, Heizungs-, Klimatechnik";"2,7";"3";"3";"3";"2";"3";"2"
"8252";"Berufe in der Augenoptik";"2,7";"3";"3";"3";"1";"3";"3"
"8253";"Berufe in der Hörgeräteakustik";"2,7";"3";"3";"3";"1";"3";"3"
"813x+821";"Pflegeberufe";"2,7";"3";"3";"3";"2";"3";"2"
"6322";"Berufe im Hotelservice";"2,6";"3";"1";"X";"3";"3";"3"
"2522";"Berufe i.d. Land-, Baumaschinentechnik";"2,5";"3";"3";"3";"1";"3";"2"
"2611";"Berufe in der Mechatronik";"2,5";"3";"3";"3";"1";"3";"2"
"2920";"Berufe i.d. Lebensmittelherstellung (oS)";"2,5";"3";"3";"3";"3";"2";"1"
"3220";"Berufe im Tiefbau (o.S.)";"2,5";"2";"3";"3";"3";"3";"1"
"3221";"Pflasterer/innen, Steinsetzer/innen";"2,5";"3";"2";"3";"3";"3";"1"
"3222";"Berufe im Straßen- und Asphaltbau";"2,5";"3";"3";"3";"2";"3";"1"
"3420";"Berufe in der Klempnerei (o.S.)";"2,5";"3";"3";"3";"1";"3";"2"
"3423";"Berufe in der Kältetechnik";"2,5";"3";"3";"3";"1";"3";"2"
"6232";"Berufe im Verkauf von Fleischwaren";"2,5";"3";"3";"3";"1";"2";"3"
"6330";"Berufe im Gastronomieservice (o.S.)";"2,5";"2";"2";"3";"3";"2";"3"
"7230";"Berufe in der Steuerberatung";"2,5";"3";"3";"3";"1";"3";"2"
"5212";"Berufskraftfahrer (Güterverkehr/LKW)";"2,4";"3";"1";"X";"3";"3";"2"
"5213";"Bus-, Straßenbahnfahrer/innen";"2,4";"3";"2";"X";"3";"2";"2"
"1110";"Berufe in der Landwirtschaft (o.S.)";"2,3";"2";"1";"3";"2";"3";"3"
"2211";"Berufe i.d.Reifen-, Vulkanisationstechnik";"2,3";"3";"2";"3";"3";"1";"2"
"2521";"Berufe in der Kraftfahrzeugtechnik";"2,3";"3";"3";"3";"2";"2";"1"
"2523";"Berufe in der Luft- und Raumfahrttechnik";"2,3";"3";"2";"3";"2";"2";"2"
"2612";"Berufe in der Automatisierungstechnik";"2,3";"3";"3";"3";"2";"2";"1"
"2626";"Berufe Leitungsinstallation,-wartung";"2,3";"1";"3";"3";"3";"3";"1"
"3224";"Berufe im Brunnenbau";"2,3";"3";"3";"X";"1";"X";"2"
"3225";"Berufe im Kanal- und Tunnelbau";"2,3";"3";"3";"3";"2";"2";"1"
"3432";"Berufe im Rohrleitungsbau";"2,3";"3";"3";"2";"3";"3";"0"
"5122";"Überwach., Wartung Eisenbahninfrastruktur";"2,3";"3";"3";"3";"1";"1";"3"
"5162";"Speditions- und Logistikkaufleute";"2,3";"3";"2";"3";"2";"2";"2"
"6231";"Berufe Verkauf Back-, Konditoreiwaren";"2,3";"3";"2";"3";"2";"1";"3"
"6242";"Berufe Verkauf Sanitäts-, Medizinbedarf";"2,3";"3";"3";"3";"1";"2";"2"
"6331";"Berufe in der Systemgastronomie";"2,3";"1";"3";"3";"3";"1";"3"
"7311";"Assistenz Rechtsanwaltskanzlei, Notariat";"2,3";"2";"3";"3";"1";"2";"3"
"8110";"Medizinische Fachangestellte (o.S.)";"2,3";"2";"2";"3";"1";"3";"3"
