isco_code,isco_digits,monthly_median_chf,mean_annual_chf,mean_annual_eur,country,year,source
1,1,10208.0,122496.0,117596.0,CH,2024,BFS
11,2,10831.0,129972.0,124773.0,CH,2024,BFS
12,2,10375.0,124500.0,119520.0,CH,2024,BFS
13,2,9594.0,115128.0,110523.0,CH,2024,BFS
14,2,6723.0,80676.0,77449.0,CH,2024,BFS
2,1,9027.0,108324.0,103991.0,CH,2024,BFS
21,2,8730.0,104760.0,100570.0,CH,2024,BFS
22,2,8000.0,96000.0,92160.0,CH,2024,BFS
23,2,9697.0,116364.0,111709.0,CH,2024,BFS
24,2,9509.0,114108.0,109544.0,CH,2024,BFS
25,2,9949.0,119388.0,114612.0,CH,2024,BFS
26,2,9122.0,109464.0,105085.0,CH,2024,BFS
3,1,7523.0,90276.0,86665.0,CH,2024,BFS
31,2,7507.0,90084.0,86481.0,CH,2024,BFS
32,2,6203.0,74436.0,71459.0,CH,2024,BFS
33,2,7900.0,94800.0,91008.0,CH,2024,BFS
34,2,7078.0,84936.0,81539.0,CH,2024,BFS
35,2,7859.0,94308.0,90536.0,CH,2024,BFS
4,1,6370.0,76440.0,73382.0,CH,2024,BFS
41,2,6637.0,79644.0,76458.0,CH,2024,BFS
42,2,5965.0,71580.0,68717.0,CH,2024,BFS
43,2,6035.0,72420.0,69523.0,CH,2024,BFS
44,2,6356.0,76272.0,73221.0,CH,2024,BFS
5,1,5136.0,61632.0,59167.0,CH,2024,BFS
51,2,4927.0,59124.0,56759.0,CH,2024,BFS
52,2,4970.0,59640.0,57254.0,CH,2024,BFS
53,2,5629.0,67548.0,64846.0,CH,2024,BFS
54,2,6528.0,78336.0,75203.0,CH,2024,BFS
6,1,5670.0,68040.0,65318.0,CH,2024,BFS
61,2,5622.0,67464.0,64765.0,CH,2024,BFS
62,2,6109.0,73308.0,70376.0,CH,2024,BFS
7,1,6190.0,74280.0,71309.0,CH,2024,BFS
71,2,6172.0,74064.0,71101.0,CH,2024,BFS
72,2,6394.0,76728.0,73659.0,CH,2024,BFS
73,2,6165.0,73980.0,71021.0,CH,2024,BFS
74,2,6432.0,77184.0,74097.0,CH,2024,BFS
75,2,5302.0,63624.0,61079.0,CH,2024,BFS
8,1,5897.0,70764.0,67933.0,CH,2024,BFS
81,2,5778.0,69336.0,66563.0,CH,2024,BFS
82,2,5980.0,71760.0,68890.0,CH,2024,BFS
83,2,5951.0,71412.0,68556.0,CH,2024,BFS
9,1,5120.0,61440.0,58982.0,CH,2024,BFS
91,2,4549.0,54588.0,52404.0,CH,2024,BFS
92,2,4919.0,59028.0,56667.0,CH,2024,BFS
93,2,5541.0,66492.0,63832.0,CH,2024,BFS
94,2,4429.0,53148.0,51022.0,CH,2024,BFS
96,2,5288.0,63456.0,60918.0,CH,2024,BFS
