STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_HORIZ,Time horizon,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2024,,1187817,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2025,,1211951,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2026,,1240701,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2027,,1272892,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2028,,1305986,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2029,,1343711,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2030,,1380310,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2031,,1420001,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2032,,1456815,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2033,,1488789,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2034,,1510224,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2035,,1517842,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,AUS,Australia,POP,Population,PS,Persons,_T,Total,Y70T74,From 70 to 74 years,P,Projection,2036,,1511543,,A,Normal value,0,Units,,
