isco3,isco3_label,isco2,isco2_label,isco1,isco1_label,esco_occupation_count,composite_description,sample_skills,esco_occupations
011,Commissioned armed forces officers,01,Commissioned armed forces officers,0,Armed forces occupations,12,"Occupation group: Commissioned armed forces officers
Constituent occupations: air force officer, armed forces officer, army captain, army general, army major, artillery officer, brigadier, colonel, fleet commander, lieutenant, navy officer, squadron leader

Representative occupation descriptions:
Navy officers command missions during conflict and peace times, and supervise training and development of their teams. They supervise combat operations of their team, as well as aid missions, and patrolling missions to ensure peace-keeping. Often they collaborate on a regular basis with the HR department of the HQCS for the best planning of the future needs.

Brigadiers command large units of troops called brigades, oversee strategic and tactical planning, and monitor operations of their brigade. They manage the headquarters of the brigade's division and ensure correct operations of the division on base and in the field.

Armed forces officers supervise operations and manoeuvres, assign duties, and command subordinate staff. They ensure efficient communication within and between units and perform training duties. They also operate equipment and supervise equipment maintenance.",advise superiors on military operations; air force operations; analyse logistic needs; analyse potential threats against national security; analyse ship operations; apply air force procedures; apply military aviation regulations; apply navy operation procedures; arrange equipment repairs; assist in military logistics; camouflage; collect real-time geolocation information; coordinate humanitarian aid missions; coordinate rescue missions; coordinate the ship crew,air force officer; armed forces officer; army captain; army general; army major; artillery officer; brigadier; colonel; fleet commander; lieutenant; navy officer; squadron leader
021,Non-commissioned armed forces officers,02,Non-commissioned armed forces officers,0,Armed forces occupations,4,"Occupation group: Non-commissioned armed forces officers
Constituent occupations: army corporal, sergeant, special forces officer, warfare specialist

Representative occupation descriptions:
Warfare specialist perform strategic duties, such as making tactical decisions, detecting and identifying potential threats, and locating targets and objectives. They communicate with their and other teams to ensure the efficiency of the operation, and also oversee the safety of the team.

Special forces officers operate in specialised missions such as counter terrorism missions. They perform combat and intelligence missions in order to impede with enemy equipment and installations, and to gather information on enemy strategy and movement.

Sergeants command squads as a second in command. They allocate tasks and duties, supervise equipment, and ensure proper training of staff. They also advise commanding officers and perform support duties.",advise superiors on military operations; apply information security policies; assess danger in risk areas; camouflage; defend human rights; develop investigation strategy; devise military tactics; ensure compliance with types of weapons; ensure information security; ensure public safety and security; geographic information systems; give battle commands; handle surveillance equipment; identify security threats; identify terrorism threats,army corporal; sergeant; special forces officer; warfare specialist
031,"Armed forces occupations, other ranks",03,"Armed forces occupations, other ranks",0,Armed forces occupations,5,"Occupation group: Armed forces occupations, other ranks
Constituent occupations: air force pilot, bomb disposal technician, infantry soldier, intelligence communications interceptor, military engineer

Representative occupation descriptions:
Bomb disposal technicians search areas using special equipment such as metal detectors, or using trained animals, for the presence of land mines and bombs, and remove the explosive materials according to safety regulations. After the search for and location of mines and bombs, they disarm them aiming to avoid any risk of detonation, and ensure the area is cleared before disarming and removal procedures.

Military engineers perform technical and scientific functions in the military, such as the development of concepts for military technical equipment, support of the manufacturing of military equipment, and technical research, maintenance, and quality assurance.

Infantry soldiers fight in combat missions or provide aid in peacekeeping missions and other humanitarian services. They handle weapons and provide defence services where they are required, and attempt to complete missions while causing minimal harm.",ICT project management methodologies; adapt to changing situations; adjust engineering designs; advise superiors on military operations; air force operations; air traffic control operations; air transport law; aircraft flight control systems; algorithms; analyse transmitted communications; analyse weather forecast; apply air force procedures; apply military aviation regulations; apply signalling control procedures; assess danger in risk areas,air force pilot; bomb disposal technician; infantry soldier; intelligence communications interceptor; military engineer
111,Legislators and senior officials,11,"Chief executives, senior officials and legislators",1,Managers,17,"Occupation group: Legislators and senior officials
Constituent occupations: ambassador, central bank governor, city councillor, consul, diplomat, embassy counsellor, fire commissioner, government minister, governor, mayor, member of parliament, police commissioner, public administration manager, secretary general, secretary of state, senator, special-interest groups' official

Representative occupation descriptions:
City councillors represent residents of a city in the city's council and perform local legislative duties. They examine the concerns of the residents and respond to them in an appropriate manner, and represent their political party's policies and programs in the city council as well. They communicate with governmental officials to ensure the city and its agenda are represented and supervise all operations which fall under the city council's responsibility.

Ambassadors represent their own government in foreign countries for diplomatic and peace-keeping purposes. They deal with political negotiation between the country of origin and the country where they are stationed and ensure the protection of citizens from their home nation in the nation they are stationed. They facilitate communication between the two nations and perform advisory functions to the home government to help develop foreign policy.

Mayors chair their jurisdiction's council meetings and act as main supervisor of the local government's administrative and operational policies. They also represent their jurisdiction in ceremonial and official events and promote activities and events. They, together with the council, hold the local or regional legislative power and oversee development and implementation of policies. They also supervise staff and perform administrative duties.",EU law; accounting techniques; advise legislators; advise on drafting policies; advise on foreign affairs policies; advise on legislative acts; advise on public finance; advise on risk management; analyse economic trends; analyse foreign affairs policies; analyse issues; analyse legislation; analyse market financial trends; apply conflict management; apply crisis management,ambassador; central bank governor; city councillor; consul; diplomat; embassy counsellor; fire commissioner; government minister; governor; mayor; member of parliament; police commissioner; public administration manager; secretary general; secretary of state; senator; special-interest groups' official
112,Managing directors and chief executives,11,"Chief executives, senior officials and legislators",1,Managers,6,"Occupation group: Managing directors and chief executives
Constituent occupations: airport chief executive, animal facility manager, chief executive officer, chief operating officer, public employment service manager, social entrepreneur

Representative occupation descriptions:
Chief executive officers hold the highest ranking in a pyramidal corporate structure. They are able to hold a complete idea of the functioning of the business, its departments, risks, and stakeholders. They analyse different kinds of information and create links among them for decision-making purposes. They serve as a communication link with the board of directors for reporting and implementation of the overall strategy.

Social entrepreneurs create innovative products or service models to tackle social and environmental challenges, pursuing through their profits a social mission that benefits a wider community or the environment. They often use a more democratic decision-making system by involving closely their stakeholders, and strive to achieve change at a systems level, by influencing policies, market evolutions and even mentalities.

Animal facility managers coordinate and plan all activities of a zoo. They formulate policies, manage daily operations, and plan the use of materials and human resources. They are the driving force and public face of their institution. This often involves representing their institution on a national, regional and global scale and taking part in coordinated zoo activities.",abide by business ethical code of conducts; advocate for others; airport electrical systems; airport environmental regulations; airport lighting equipment; airport operating environment; airport planning; airport safety regulations; analyse business plans; analyse financial performance of a company; apply business acumen; apply strategic thinking; assess environmental impact; assume responsibility for the management of a business; build trust,airport chief executive; animal facility manager; chief executive officer; chief operating officer; public employment service manager; social entrepreneur
121,Business services and administration managers,12,Administrative and commercial managers,1,Managers,38,"Occupation group: Business services and administration managers
Constituent occupations: EU funds manager, accounting manager, bank treasurer, branch manager, budget manager, business manager, business service manager, chemical plant manager, corporate social responsibility manager, corporate training manager, corporate treasurer, defence administration officer, department manager, director of compliance and information security, director of compliance and information security in gambling, employee volunteering programme coordinator, equality and inclusion manager, facilities manager, financial manager, foundry manager, health safety and environmental manager, human resources manager, manufacturing facility manager, policy manager, power plant manager, procurement department manager, programme manager, project manager, quality services manager, security manager, social security administrator, strategic planning manager, sustainability manager, talent acquisition manager, tourism policy director, volunteer manager, water treatment plant manager, wood factory manager

Representative occupation descriptions:
Health, safety and environmental managers design and execute corporate policies and procedures related to occupational health and safety and environmental protection. They analyse business processes to ensure compliance with government and environment legislation, conduct risk assessment in the domain of occupational health and safety, evaluate the environmental impact of economic activities and design the appropriate measures for the improvement of work environments and cultures. They coordinate the implementation of an integrated health, safety and environmental management system, defining effective indicators, organizing audits and eventually participating in accident investigation and reporting. They promote an integrated approach to sustainability and occupational health within business organisations, liaising with corporate and line managers and training employees. They are responsible for drafting technical documentation related to the compliance with health and safety and environmental legislation.

Employee volunteering programme coordinators work across sectors and fields to coordinate and manage the employee volunteering (sometimes called corporate volunteering) programme for their employer. They are in charge of connecting with local community organisations to determine needs and arrange for volunteers from within the staff of the company to engage with local entities, such as local authorities or local civil society organisations, to meet those needs. Employee volunteering programme coordinators might also arrange for volunteers to undertake their duties online in collaboration with civil society initiatives meeting identified needs. These roles can exist in the company or setting where the employees are based and also in the civil society organisation who receives the volunteers from the employee or corporate volunteering scheme.

Sustainability managers are responsible for ensuring the sustainability of business processes. They provide assistance in the design and implementation of plans and measures to ensure that the manufacturing processes and products comply with given environmental regulations and social responsibility standards and they monitor and report on the implementation of sustainability strategies within the company supply chain and business process. They analyse issues linked to manufacturing processes, use of materials, waste reduction, energy efficiency and products traceability to improve environmental and social impacts and integrate sustainability aspects into the company culture.",EU law; European Structural and Investment Funds regulations; ICT security legislation; ICT security standards; Internet of Things; abide by business ethical code of conducts; accounting; accounting department processes; accounting entries; accounting techniques; adapt energy distribution schedules; adapt to changing situations; adapt training to labour market; address problems critically; adhere to organisational code of ethics,EU funds manager; accounting manager; bank treasurer; branch manager; budget manager; business manager; business service manager; chemical plant manager; corporate social responsibility manager; corporate training manager; corporate treasurer; defence administration officer; department manager; director of compliance and information security; director of compliance and information security in gambling; employee volunteering programme coordinator; equality and inclusion manager; facilities manager; financial manager; foundry manager; health safety and environmental manager; human resources manager; manufacturing facility manager; policy manager; power plant manager; procurement department manager; programme manager; project manager; quality services manager; security manager; social security administrator; strategic planning manager; sustainability manager; talent acquisition manager; tourism policy director; volunteer manager; water treatment plant manager; wood factory manager
122,"Sales, marketing and development managers",12,Administrative and commercial managers,1,Managers,31,"Occupation group: Sales, marketing and development managers
Constituent occupations: ICT research manager, advertising manager, aftersales service manager, auction house manager, banking products manager, bid manager, category manager, chief marketing officer, chief product officer, clothing development manager, commercial director, communication manager, destination manager, digital marketing manager, footwear product development manager, games development manager, innovation officer, insurance product manager, leather goods product development manager, licensing manager, marketing manager, motor vehicle aftersales manager, online sales channel manager, product development manager, product manager, promotion manager, public relations manager, research and development manager, research manager, sales manager, tourism product manager

Representative occupation descriptions:
Leather goods product development managers coordinate the leather goods design and product development process in order to comply with marketing specifications, deadlines, strategic requirements and policies of the company. They communicate and collaborate with other cross functional teams or professionals involved in leather goods production, such as logistics and marketing, costing, planning, production and quality assurance. They are responsible for the leather goods product collections development which involve activities, such as tracking style development and reviewing design specification in order to meet the design vision. They are also responsible for the manufacturing environment and the rent-ability of the companies.

Digital marketing managers are responsible for the elaboration of the company's digital marketing strategy with the goal of improving brand recognition and brand awareness, in line with the company's mission and vision. They oversee the execution of digital marketing and communication strategies involving the use of social media, email marketing, marketing automation, search engine optimisation, online events and online advertisement through data driven methodologies and by measuring and monitoring digital marketing KPIs in order to promptly implement corrective action plan. They manage and interpret competitors and consumers' data and conduct research on market conditions.

Clothing development managers define product concepts that are consistent with target consumers and overall marketing strategy. They receive scientific findings and specifications in order to lead the briefing and implementation of all relevant seasonal and strategic concepts, including distribution by channel, product, colour introductions, and merchandised assortments. They ensure realisation and execution within budget. They manage and execute the product line and category life cycle from concept determination through sales and distribution, contribution in market research and industry trends to influence category concepts and products.",ICT market; ICT project management; abide by business ethical code of conducts; adhere to organisational guidelines; advertising techniques; advise on communication strategies; advise on financial matters; advise on public image; advise on public relations; align efforts towards business development; analyse business plans; analyse consumer buying trends; analyse customer service surveys; analyse data about clients; analyse economic trends,ICT research manager; advertising manager; aftersales service manager; auction house manager; banking products manager; bid manager; category manager; chief marketing officer; chief product officer; clothing development manager; commercial director; communication manager; destination manager; digital marketing manager; footwear product development manager; games development manager; innovation officer; insurance product manager; leather goods product development manager; licensing manager; marketing manager; motor vehicle aftersales manager; online sales channel manager; product development manager; product manager; promotion manager; public relations manager; research and development manager; research manager; sales manager; tourism product manager
131,"Production managers in agriculture, forestry and fisheries",13,Production and specialised services managers,1,Managers,4,"Occupation group: Production managers in agriculture, forestry and fisheries
Constituent occupations: aquaculture harvesting manager, aquaculture husbandry manager, aquaculture production manager, forester

Representative occupation descriptions:
Aquaculture production managers plan, direct and coordinate the production of fish, shellfish or other forms of aquatic life such as cash crops, in large-scale aquaculture operations to culture and harvest or for release into fresh, brackish or salt water.

Aquaculture harvesting managers control harvesting operations of aquatic organisms which entails understanding and knowledge of techniques and equipment used in harvesting processes.

Foresters are responsible for monitoring the natural and economic viability of a woodland or forest and for activities related to its management and conservation.",agronomy; animal welfare legislation; apply animal hygiene practices; apply company policies; apply fish harvest methods; aquaculture cultivation equipment; aquaculture production planning software; aquaculture reproduction; assess cage water quality; assist in general veterinary medical procedures; biosecurity; calculate aquatic resources growth rate; carry out fish disease prevention measures; collaborate with animal related professionals; compare production forecasts with actual results,aquaculture harvesting manager; aquaculture husbandry manager; aquaculture production manager; forester
132,"Manufacturing, mining, construction, and distribution managers",13,Production and specialised services managers,1,Managers,119,"Occupation group: Manufacturing, mining, construction, and distribution managers
Constituent occupations: agricultural machinery and equipment distribution manager, agricultural raw materials, seeds and animal feeds distribution manager, air traffic manager, airport director, beverages distribution manager, chemical production manager, chemical products distribution manager, china and glassware distribution manager, clothing and footwear distribution manager, clothing operations manager, coffee, tea, cocoa and spices distribution manager, computers, computer peripheral equipment and software distribution manager, construction general contractor, construction manager, dairy products and edible oils distribution manager, distribution manager, electrical household appliances distribution manager, electronic and telecommunications equipment and parts distribution manager, finished leather warehouse manager, fish, crustaceans and molluscs distribution manager, flowers and plants distribution manager, food production manager, footwear production manager, footwear quality manager, forecast manager, fruit and vegetables distribution manager, furniture carpets and lighting equipment distribution manager, green coffee coordinator, hardware, plumbing and heating equipment and supplies distribution manager, hides, skins and leather products distribution manager, household goods distribution manager, import export manager, import export manager in agricultural machinery and equipment, import export manager in agricultural raw materials, seeds and animal feeds, import export manager in beverages, import export manager in chemical products, import export manager in china and other glassware, import export manager in clothing and footwear, import export manager in coffee, tea, cocoa and spices, import export manager in computers, computer peripheral equipment and software, import export manager in dairy products and edible oils, import export manager in electrical household appliances, import export manager in electronic and telecommunications equipment and parts, import export manager in fish, crustaceans and molluscs, import export manager in flowers and plants, import export manager in fruit and vegetables, import export manager in furniture, carpets and lighting equipment, import export manager in hardware, plumbing and heating equipment and supplies, import export manager in hides, skins and leather products, import export manager in household goods, import export manager in live animals, import export manager in machine tools, import export manager in machinery, industrial equipment, ships and aircraft, import export manager in meat and meat products, import export manager in metals and metal ores, import export manager in mining, construction and civil engineering machinery, import export manager in office furniture, import export manager in office machinery and equipment, import export manager in perfume and cosmetics, import export manager in pharmaceutical goods, import export manager in sugar, chocolate and sugar confectionery, import export manager in textile industry machinery, import export manager in textiles and textile semi-finished and raw materials, import export manager in tobacco products, import export manager in waste and scrap, import export manager in watches and jewellery, import export manager in wood and construction materials, industrial production manager, industrial quality manager, inland water transport general manager, intermodal logistics manager, leather finishing operations manager, leather goods production manager, leather goods quality manager, leather production manager, leather raw materials purchasing manager, leather wet processing department manager, live animals distribution manager, logistics and distribution manager, machinery, industrial equipment, ships and aircraft distribution manager, manufacturing manager, maritime water transport general manager, meat and meat products distribution manager, metal production manager, metallurgical manager, metals and metal ores distribution manager, mine manager, mine production manager, mining, construction and civil engineering machinery distribution manager, move manager, movie distributor, oil and gas production manager, operations manager, perfume and cosmetics distribution manager, pharmaceutical goods distribution manager, pipeline superintendent, property developer, purchasing manager, quarry manager, rail operations manager, railway station manager, resource manager, road operations manager, road transport division manager, sewerage systems manager, specialised goods distribution manager, sugar, chocolate and sugar confectionery distribution manager, supply chain manager, textile industry machinery distribution manager, textile operations manager, textile quality manager, textiles, textile semi-finished and raw materials distribution manager, tobacco products distribution manager, warehouse manager, waste and scrap distribution manager, waste management officer, watches and jewellery distribution manager, wood and construction materials distribution manager

Representative occupation descriptions:
Footwear quality managers implement, manage and promote the quality systems in the company, using adequate tools and methodologies based on national, international or company standards. They are in charge of establishing requirements and objectives, as well as preparing documents. They analyse complaints, and promote and coordinate corrective and preventive measures. They promote an effective internal and external communication and ensure the consumer's demands are met. They are responsible for the definition of instruments which monitor and control the quality systems, namely internal or external auditing, and they participate in the internal auditing.

Rail operations managers are concerned with overseeing, designing, and controlling the processes of transport operation. Rail operation managers may work for rail operators concerning tasks such as managing the safe and efficient operation of transport services including customer relation tasks or the management of staff and work organisation in this field. Rail operation managers employed by infrastructure operators manage the efficient and safe use of the network. This includes the planning of timetables and the allocation of slots to customers. They plan the construction and maintenance work.

Chemical production managers are responsible for the technical coordination and control of the chemical production processes. They steer one or more manufacturing units and oversee the implementation of technical and human means, within the framework of objectives of volume, quality and planning. Chemical production managers design and ensure that the production plans and schedules are met. They are responsible for implementation of the processes designed to ensure quality of the manufactured product, good working conditions and environmental practices, and safety of the workplace.","International Maritime Organisation conventions; abide by business ethical code of conducts; adapt production levels; adapt to changing situations; address problems critically; adhere to Standard Operating Procedures; adhere to organisational guidelines; adjust production schedule; advise clients on moving services; advise on construction materials; advise on mine equipment; advise on waste management procedures; agricultural equipment; agricultural raw materials, seeds and animal feed products; air traffic management","agricultural machinery and equipment distribution manager; agricultural raw materials, seeds and animal feeds distribution manager; air traffic manager; airport director; beverages distribution manager; chemical production manager; chemical products distribution manager; china and glassware distribution manager; clothing and footwear distribution manager; clothing operations manager; coffee, tea, cocoa and spices distribution manager; computers, computer peripheral equipment and software distribution manager; construction general contractor; construction manager; dairy products and edible oils distribution manager; distribution manager; electrical household appliances distribution manager; electronic and telecommunications equipment and parts distribution manager; finished leather warehouse manager; fish, crustaceans and molluscs distribution manager; flowers and plants distribution manager; food production manager; footwear production manager; footwear quality manager; forecast manager; fruit and vegetables distribution manager; furniture carpets and lighting equipment distribution manager; green coffee coordinator; hardware, plumbing and heating equipment and supplies distribution manager; hides, skins and leather products distribution manager; household goods distribution manager; import export manager; import export manager in agricultural machinery and equipment; import export manager in agricultural raw materials, seeds and animal feeds; import export manager in beverages; import export manager in chemical products; import export manager in china and other glassware; import export manager in clothing and footwear; import export manager in coffee, tea, cocoa and spices; import export manager in computers, computer peripheral equipment and software; import export manager in dairy products and edible oils; import export manager in electrical household appliances; import export manager in electronic and telecommunications equipment and parts; import export manager in fish, crustaceans and molluscs; import export manager in flowers and plants; import export manager in fruit and vegetables; import export manager in furniture, carpets and lighting equipment; import export manager in hardware, plumbing and heating equipment and supplies; import export manager in hides, skins and leather products; import export manager in household goods; import export manager in live animals; import export manager in machine tools; import export manager in machinery, industrial equipment, ships and aircraft; import export manager in meat and meat products; import export manager in metals and metal ores; import export manager in mining, construction and civil engineering machinery; import export manager in office furniture; import export manager in office machinery and equipment; import export manager in perfume and cosmetics; import export manager in pharmaceutical goods; import export manager in sugar, chocolate and sugar confectionery; import export manager in textile industry machinery; import export manager in textiles and textile semi-finished and raw materials; import export manager in tobacco products; import export manager in waste and scrap; import export manager in watches and jewellery; import export manager in wood and construction materials; industrial production manager; industrial quality manager; inland water transport general manager; intermodal logistics manager; leather finishing operations manager; leather goods production manager; leather goods quality manager; leather production manager; leather raw materials purchasing manager; leather wet processing department manager; live animals distribution manager; logistics and distribution manager; machinery, industrial equipment, ships and aircraft distribution manager; manufacturing manager; maritime water transport general manager; meat and meat products distribution manager; metal production manager; metallurgical manager; metals and metal ores distribution manager; mine manager; mine production manager; mining, construction and civil engineering machinery distribution manager; move manager; movie distributor; oil and gas production manager; operations manager; perfume and cosmetics distribution manager; pharmaceutical goods distribution manager; pipeline superintendent; property developer; purchasing manager; quarry manager; rail operations manager; railway station manager; resource manager; road operations manager; road transport division manager; sewerage systems manager; specialised goods distribution manager; sugar, chocolate and sugar confectionery distribution manager; supply chain manager; textile industry machinery distribution manager; textile operations manager; textile quality manager; textiles, textile semi-finished and raw materials distribution manager; tobacco products distribution manager; warehouse manager; waste and scrap distribution manager; waste management officer; watches and jewellery distribution manager; wood and construction materials distribution manager"
133,Information and communications technology service managers,13,Production and specialised services managers,1,Managers,13,"Occupation group: Information and communications technology service managers
Constituent occupations: ICT documentation manager, ICT environmental manager, ICT information and knowledge manager, ICT operations manager, ICT product manager, ICT project manager, ICT vendor relationship manager, chief data officer, chief information officer, chief technology officer, digital transformation manager, software manager, telecommunications manager

Representative occupation descriptions:
ICT environmental managers know the green ICT legal framework, understand the role of the ICT network configurations in the economy and energy resources deployment and evaluate the impact of CO2 footprint of each ICT resource in the organisation's network. They plan and manage the implementation of environmental strategies for ICT networks and systems by conducting applied research, developing organisational policy, and devising strategies to meet sustainability targets. They ensure that the whole organisation uses ICT resources in a way that is as friendly as possible for the environment.

ICT documentation managers are in charge of managing the documentation development process in accordance with legal requirements, standards, organisational policies and goals. They schedule, control and direct the resources, people, funding and facilities of the documentation department (including establishing budgets and timelines, risk analysis and quality management). They also develop documentation standards, structuring methods and media concepts to effectively communicate product concepts and usage.

Digital transformation managers are professionals in charge of the acceleration of digital transformation in business by implementing emerging trends initiatives and digital strategies within an organisation. Additionally, they identify new business opportunities in sustainable innovation and develop guidance regarding to ensure a qualified transition to the latest technology business processes. Digital transformation managers translate business requirements and market needs into digital solutions.",ICT communications protocols; ICT hardware specifications; ICT infrastructure; ICT market; ICT project management; ICT project management methodologies; ICT sales methodologies; ICT software specifications; ICT system user requirements; adapt to changes in technological development plans; administer ICT system; advertising techniques; align efforts towards business development; analyse ICT system; analyse business plans,ICT documentation manager; ICT environmental manager; ICT information and knowledge manager; ICT operations manager; ICT product manager; ICT project manager; ICT vendor relationship manager; chief data officer; chief information officer; chief technology officer; digital transformation manager; software manager; telecommunications manager
