isco3,country,employment_thousands,mean_annual_wage_eur,wage_source,wage_level
021,AT,7.0,,,
111,AT,24.2,112755.0,eurostat,isco1
112,AT,8.6,112755.0,eurostat,isco1
121,AT,48.1,112755.0,eurostat,isco1
122,AT,39.2,112755.0,eurostat,isco1
131,AT,1.6,112755.0,eurostat,isco1
132,AT,47.7,112755.0,eurostat,isco1
133,AT,5.2,112755.0,eurostat,isco1
134,AT,20.4,112755.0,eurostat,isco1
141,AT,1.8,112755.0,eurostat,isco1
142,AT,22.3,112755.0,eurostat,isco1
143,AT,8.6,112755.0,eurostat,isco1
211,AT,15.8,70309.0,eurostat,isco1
212,AT,3.8,70309.0,eurostat,isco1
213,AT,21.8,70309.0,eurostat,isco1
214,AT,67.5,70309.0,eurostat,isco1
215,AT,15.8,70309.0,eurostat,isco1
216,AT,25.0,70309.0,eurostat,isco1
221,AT,5.5,70309.0,eurostat,isco1
222,AT,11.1,70309.0,eurostat,isco1
223,AT,13.9,70309.0,eurostat,isco1
225,AT,30.5,70309.0,eurostat,isco1
226,AT,127.5,70309.0,eurostat,isco1
231,AT,83.3,70309.0,eurostat,isco1
232,AT,46.3,70309.0,eurostat,isco1
233,AT,35.2,70309.0,eurostat,isco1
234,AT,9.3,70309.0,eurostat,isco1
235,AT,68.5,70309.0,eurostat,isco1
241,AT,39.4,70309.0,eurostat,isco1
242,AT,56.3,70309.0,eurostat,isco1
243,AT,55.1,70309.0,eurostat,isco1
251,AT,94.2,70309.0,eurostat,isco1
252,AT,34.2,70309.0,eurostat,isco1
261,AT,12.5,70309.0,eurostat,isco1
262,AT,8.1,70309.0,eurostat,isco1
263,AT,48.6,70309.0,eurostat,isco1
264,AT,26.5,70309.0,eurostat,isco1
265,AT,41.3,70309.0,eurostat,isco1
311,AT,110.9,58268.0,eurostat,isco1
312,AT,49.2,58268.0,eurostat,isco1
313,AT,29.2,58268.0,eurostat,isco1
314,AT,10.0,58268.0,eurostat,isco1
315,AT,23.4,58268.0,eurostat,isco1
321,AT,11.0,58268.0,eurostat,isco1
322,AT,1.6,58268.0,eurostat,isco1
323,AT,1.6,58268.0,eurostat,isco1
324,AT,9.4,58268.0,eurostat,isco1
325,AT,53.4,58268.0,eurostat,isco1
331,AT,62.8,58268.0,eurostat,isco1
332,AT,102.3,58268.0,eurostat,isco1
333,AT,111.3,58268.0,eurostat,isco1
334,AT,43.1,58268.0,eurostat,isco1
335,AT,39.5,58268.0,eurostat,isco1
341,AT,26.8,58268.0,eurostat,isco1
342,AT,25.0,58268.0,eurostat,isco1
343,AT,44.6,58268.0,eurostat,isco1
351,AT,13.5,58268.0,eurostat,isco1
352,AT,23.7,58268.0,eurostat,isco1
411,AT,77.7,48160.0,eurostat,isco1
412,AT,38.8,48160.0,eurostat,isco1
413,AT,77.7,48160.0,eurostat,isco1
421,AT,25.6,48160.0,eurostat,isco1
422,AT,42.1,48160.0,eurostat,isco1
431,AT,36.2,48160.0,eurostat,isco1
432,AT,92.3,48160.0,eurostat,isco1
441,AT,31.6,48160.0,eurostat,isco1
511,AT,38.9,36196.0,eurostat,isco1
512,AT,15.0,36196.0,eurostat,isco1
513,AT,29.9,36196.0,eurostat,isco1
514,AT,50.8,36196.0,eurostat,isco1
515,AT,23.9,36196.0,eurostat,isco1
516,AT,98.7,36196.0,eurostat,isco1
521,AT,8.3,36196.0,eurostat,isco1
522,AT,194.1,36196.0,eurostat,isco1
523,AT,12.4,36196.0,eurostat,isco1
524,AT,95.0,36196.0,eurostat,isco1
531,AT,100.3,36196.0,eurostat,isco1
532,AT,54.7,36196.0,eurostat,isco1
541,AT,44.0,36196.0,eurostat,isco1
611,AT,57.6,,,
612,AT,38.4,,,
613,AT,7.7,,,
621,AT,0.4,,,
622,AT,5.9,,,
711,AT,57.1,44146.0,eurostat,isco1
712,AT,79.3,44146.0,eurostat,isco1
713,AT,34.9,44146.0,eurostat,isco1
721,AT,44.0,44146.0,eurostat,isco1
722,AT,74.9,44146.0,eurostat,isco1
723,AT,53.8,44146.0,eurostat,isco1
731,AT,11.9,44146.0,eurostat,isco1
732,AT,4.5,44146.0,eurostat,isco1
741,AT,42.0,44146.0,eurostat,isco1
742,AT,31.5,44146.0,eurostat,isco1
751,AT,15.8,44146.0,eurostat,isco1
752,AT,8.2,44146.0,eurostat,isco1
753,AT,23.4,44146.0,eurostat,isco1
754,AT,19.9,44146.0,eurostat,isco1
811,AT,6.1,43748.0,eurostat,isco1
812,AT,4.4,43748.0,eurostat,isco1
813,AT,7.5,43748.0,eurostat,isco1
814,AT,8.2,43748.0,eurostat,isco1
815,AT,11.7,43748.0,eurostat,isco1
816,AT,12.8,43748.0,eurostat,isco1
817,AT,4.4,43748.0,eurostat,isco1
818,AT,5.4,43748.0,eurostat,isco1
821,AT,16.9,43748.0,eurostat,isco1
831,AT,17.7,43748.0,eurostat,isco1
832,AT,23.6,43748.0,eurostat,isco1
833,AT,35.4,43748.0,eurostat,isco1
834,AT,56.1,43748.0,eurostat,isco1
835,AT,20.7,43748.0,eurostat,isco1
911,AT,67.1,32851.0,eurostat,isco1
912,AT,76.7,32851.0,eurostat,isco1
921,AT,5.3,32851.0,eurostat,isco1
931,AT,48.6,32851.0,eurostat,isco1
932,AT,21.6,32851.0,eurostat,isco1
933,AT,64.8,32851.0,eurostat,isco1
941,AT,32.8,32851.0,eurostat,isco1
951,AT,,32851.0,eurostat,isco1
952,AT,,32851.0,eurostat,isco1
961,AT,4.7,32851.0,eurostat,isco1
962,AT,14.0,32851.0,eurostat,isco1
021,BA,1.4,,,
031,BA,6.0,,,
111,BA,1.8,18913.0,eurostat,isco1
112,BA,0.7,18913.0,eurostat,isco1
121,BA,1.8,18913.0,eurostat,isco1
122,BA,1.4,18913.0,eurostat,isco1
131,BA,0.2,18913.0,eurostat,isco1
132,BA,6.3,18913.0,eurostat,isco1
133,BA,0.7,18913.0,eurostat,isco1
134,BA,2.7,18913.0,eurostat,isco1
141,BA,1.1,18913.0,eurostat,isco1
142,BA,13.0,18913.0,eurostat,isco1
143,BA,5.0,18913.0,eurostat,isco1
211,BA,3.0,17595.0,eurostat,isco1
212,BA,0.7,17595.0,eurostat,isco1
213,BA,4.1,17595.0,eurostat,isco1
214,BA,12.8,17595.0,eurostat,isco1
215,BA,3.0,17595.0,eurostat,isco1
216,BA,4.7,17595.0,eurostat,isco1
221,BA,0.9,17595.0,eurostat,isco1
222,BA,1.7,17595.0,eurostat,isco1
223,BA,2.2,17595.0,eurostat,isco1
225,BA,4.8,17595.0,eurostat,isco1
226,BA,20.0,17595.0,eurostat,isco1
231,BA,17.5,17595.0,eurostat,isco1
232,BA,9.7,17595.0,eurostat,isco1
233,BA,7.4,17595.0,eurostat,isco1
234,BA,1.9,17595.0,eurostat,isco1
235,BA,14.3,17595.0,eurostat,isco1
241,BA,6.7,17595.0,eurostat,isco1
242,BA,9.6,17595.0,eurostat,isco1
243,BA,9.4,17595.0,eurostat,isco1
251,BA,14.4,17595.0,eurostat,isco1
252,BA,5.3,17595.0,eurostat,isco1
261,BA,5.2,17595.0,eurostat,isco1
262,BA,3.4,17595.0,eurostat,isco1
263,BA,20.3,17595.0,eurostat,isco1
264,BA,11.1,17595.0,eurostat,isco1
265,BA,17.2,17595.0,eurostat,isco1
311,BA,17.0,12797.0,eurostat,isco1
312,BA,7.5,12797.0,eurostat,isco1
313,BA,4.5,12797.0,eurostat,isco1
314,BA,1.5,12797.0,eurostat,isco1
315,BA,3.6,12797.0,eurostat,isco1
321,BA,4.5,12797.0,eurostat,isco1
322,BA,0.6,12797.0,eurostat,isco1
323,BA,0.6,12797.0,eurostat,isco1
324,BA,3.8,12797.0,eurostat,isco1
325,BA,21.8,12797.0,eurostat,isco1
331,BA,6.0,12797.0,eurostat,isco1
332,BA,9.8,12797.0,eurostat,isco1
333,BA,10.6,12797.0,eurostat,isco1
334,BA,4.1,12797.0,eurostat,isco1
335,BA,3.8,12797.0,eurostat,isco1
